"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	
110	1188	1333	148	419	1711	743	
185	1450	1400	180	450	2000	1030	
0	0	0	88	30	0	48	
97	731	826	54	271	1177	477	
8	30	49	4	85	70	9	
80	689	525	34	64	753	496	
8	30	49	92	115	70	57	
97	731	826	54	271	1175	477	
0	12	11	3	5	14	5	
105	749	864	143	381	1231	529	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

2	4	1	0	0	9	1	
8	78	99	10	35	77	46	
5	75	88	12	50	86	49	
89	573	649	117	287	1020	421	
1	5	10	2	2	8	5	
0	6	3	0	5	12	1	
0	4	6	2	1	9	3	
0	4	8	0	1	10	3	
