"УИК №6001"	"УИК №6002"	"УИК №6003"	"УИК №6004"	"УИК №6005"	"УИК №6006"	"УИК №6007"	"УИК №6008"	"УИК №6009"	"УИК №6010"	"УИК №6011"	"УИК №6012"	"УИК №6013"	"УИК №6014"	"УИК №6015"	"УИК №6016"	"УИК №6017"	"УИК №6018"	"УИК №6019"	"УИК №6020"	"УИК №6021"	"УИК №6022"	"УИК №6023"	"УИК №6024"	"УИК №6025"	"УИК №6026"	"УИК №6027"	"УИК №6028"	"УИК №6029"	"УИК №6030"	"УИК №6031"	"УИК №6032"	"УИК №6033"	"УИК №6034"	"УИК №6035"	"УИК №6036"	"УИК №6037"	"УИК №6038"	"УИК №6039"	"УИК №6040"	"УИК №6041"	"УИК №6042"	"УИК №6043"	"УИК №6044"	"УИК №6045"	"УИК №6046"	"УИК №6047"	"УИК №6048"	"УИК №6049"	"УИК №6050"	"УИК №6051"	"УИК №6052"	"УИК №6053"	"УИК №6054"	"УИК №6055"	"УИК №6097"	"УИК №6098"	"УИК №6099"	
1850	1960	2096	3258	3263	1922	2271	2540	3090	3218	3185	2996	2937	2570	2716	3028	2032	2619	2570	2525	3420	2693	2846	2909	2736	2676	3015	2679	3741	2651	2804	2815	2612	2671	3052	3091	3049	2911	2472	3299	3067	3259	3443	3004	3119	1083	3041	3180	1380	2367	2697	2839	2822	2945	2631	450	1300	290	
1600	1900	1900	2700	2700	1600	2200	2400	2600	2600	2600	2400	2600	2500	2400	2700	1900	2200	2200	2300	2700	2700	2500	2700	2500	2400	2400	2400	2600	2300	2200	2500	2100	2400	2500	2500	2500	2100	2200	2700	2700	2700	2700	2400	2500	1000	2700	2700	1600	2000	2300	2300	2400	2400	2200	450	1300	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1174	1270	1321	1743	1585	942	1543	1436	1780	1609	1971	2323	1883	1324	1482	1972	1267	1620	1504	1600	2349	1702	1721	1870	1641	1288	1555	1361	2177	1290	1607	1328	1210	2182	1460	1361	1550	1280	945	1563	1858	1569	2103	1556	1167	517	1154	1256	778	1326	1299	1522	1403	1372	1875	434	1050	264	
201	35	19	49	91	86	216	230	190	178	156	13	28	229	90	236	76	24	45	107	255	36	18	21	10	43	117	97	12	18	204	41	4	115	7	14	15	105	36	64	28	134	151	21	26	87	132	103	122	233	221	49	30	12	225	10	138	26	
225	595	560	908	1024	572	441	734	630	813	473	64	689	947	828	492	557	556	651	593	96	962	761	809	849	1069	728	942	411	992	389	1131	886	103	1033	1125	935	715	1219	1073	814	997	446	823	1307	396	1414	1341	700	441	780	729	967	1016	100	6	112	10	
201	35	19	49	91	86	216	230	190	178	156	13	28	229	90	236	76	24	45	107	255	36	18	21	10	43	117	97	12	18	204	41	4	115	7	14	15	105	36	64	28	134	151	21	26	87	132	103	122	233	221	49	30	12	225	10	138	26	
1174	1270	1321	1741	1585	942	1543	1436	1780	1609	1971	2323	1883	1324	1482	1972	1266	1619	1504	1600	2349	1702	1721	1870	1638	1287	1555	1361	2177	1286	1607	1328	1210	2182	1458	1361	1550	1280	945	1563	1858	1569	1952	1556	1167	517	1154	1256	778	1326	1299	1522	1403	1372	1864	434	1050	264	
5	12	10	24	18	13	17	16	20	18	26	0	16	18	17	17	10	27	21	20	216	26	13	15	15	22	19	18	14	10	9	5	13	9	10	21	15	12	15	12	19	13	3	0	17	4	7	12	7	20	12	17	3	2	15	5	6	5	
1370	1293	1330	1766	1658	1015	1742	1650	1950	1769	2101	2336	1895	1535	1555	2191	1332	1616	1528	1687	2388	1712	1726	1876	1633	1308	1653	1440	2175	1294	1802	1364	1201	2288	1455	1354	1550	1373	966	1615	1867	1690	2100	1577	1176	600	1279	1347	893	1539	1508	1554	1430	1382	2074	439	1182	285	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	9	14	18	9	6	16	14	11	15	8	7	14	7	14	18	13	22	6	14	10	11	18	11	14	7	9	13	19	8	18	13	5	8	6	6	9	14	5	5	15	13	9	12	6	3	9	5	9	10	15	12	5	7	9	3	5	6	
210	171	204	272	252	152	225	192	276	290	365	314	293	201	216	287	182	258	240	250	293	250	248	308	225	206	253	205	386	239	246	171	229	188	266	248	283	212	159	250	264	254	349	201	190	106	187	218	97	220	217	269	253	274	201	42	120	25	
45	68	56	65	94	42	76	85	68	88	79	103	103	96	90	95	71	90	76	79	89	98	101	85	84	82	107	47	123	62	103	77	61	51	110	95	96	91	44	79	79	65	98	81	40	41	82	67	37	89	72	96	64	83	86	21	48	19	
1107	969	981	1301	1199	775	1343	1267	1480	1281	1536	1820	1399	1127	1146	1702	1001	1125	1107	1255	1853	1257	1268	1331	1214	933	1219	1109	1516	901	1337	1041	829	1982	986	939	1068	1005	714	1195	1413	1261	1572	1204	887	431	956	1018	725	1151	1132	1105	1023	942	1731	356	977	215	
0	31	30	43	49	18	24	38	52	44	62	52	40	39	28	35	33	59	28	35	76	38	45	72	38	41	34	23	69	33	48	27	44	32	44	32	45	21	22	39	38	35	36	39	21	10	22	18	10	23	25	37	35	43	26	8	9	8	
0	12	9	10	13	3	11	11	17	6	11	5	5	8	14	17	7	11	13	13	7	9	16	12	7	4	8	7	9	9	19	7	4	7	6	6	15	7	4	15	17	16	8	8	8	7	5	9	2	13	16	8	8	10	7	3	8	0	
7	16	24	36	30	5	25	30	23	29	28	23	21	37	31	25	16	31	38	22	40	33	14	29	27	26	13	22	26	29	19	14	19	15	24	14	21	13	9	23	20	29	16	21	13	1	12	6	11	26	17	20	25	10	9	4	8	6	
0	17	12	21	12	14	22	13	23	16	12	12	20	20	16	12	9	20	20	19	20	16	16	28	24	9	10	14	27	13	12	14	10	5	13	14	13	10	9	9	21	17	12	11	11	1	6	6	2	7	14	7	17	13	5	2	7	6	
