"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	
1531	3871	2873	1726	365	638	1308	2757	3031	2778	2049	2792	2418	2087	3717	3295	1309	2318	251	506	
1610	3710	3670	1660	400	650	1395	2629	2980	2670	2040	2885	2452	2230	3454	3885	1375	2050	250	510	
476	1408	1119	0	89	0	349	0	0	0	0	375	0	678	1416	1395	0	934	161	113	
1025	2253	1709	1624	274	632	940	1539	2540	2638	2014	2253	2307	1347	2000	1885	1243	1078	85	380	
23	12	7	18	1	1	0	98	2	6	7	2	8	9	5	5	26	8	0	4	
86	37	835	18	36	17	106	992	438	26	19	255	137	196	33	600	106	30	4	13	
499	1420	1126	18	90	1	349	98	2	6	7	377	8	687	1421	1400	26	942	161	117	
1025	2252	1708	1622	274	631	938	1537	2538	2636	2013	2253	2307	1345	1998	1884	1243	1077	85	380	
3	4	5	3	2	2	3	5	8	5	7	6	5	4	6	8	3	5	2	2	
1521	3668	2829	1637	362	630	1284	1630	2532	2637	2013	2624	2310	2028	3413	3276	1266	2014	244	495	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	9	6	2	1	3	6	5	5	13	9	11	18	7	14	16	3	4	2	1	
11	98	57	26	4	9	16	19	41	42	20	38	37	27	47	31	9	11	3	3	
21	127	126	68	7	5	31	25	82	79	72	98	93	63	124	83	27	35	4	4	
1473	3397	2597	1495	345	601	1194	1544	2351	2460	1856	2414	2083	1912	3168	3041	1205	1944	226	479	
6	10	20	24	2	3	18	7	17	7	22	21	29	4	29	27	10	6	3	3	
1	3	2	3	1	4	3	9	16	13	11	9	16	5	10	28	3	2	2	1	
2	5	6	7	1	3	7	5	9	9	5	7	11	2	2	19	4	3	1	1	
4	19	15	12	1	2	9	16	11	14	18	26	23	8	19	31	5	9	3	3	
