"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	4	7	1	9	7	9	4	6	3	8	3	7	7	7	6	3	12	1	2	10	5	9	9	6	8	9	15	14	11	8	8	6	23	9	8	15	3	11	8	9	11	3	8	14	16	7	11	13	20	12	8	7	11	7	11	7	7	8	4	7	0	3	0	0	3	6	1	0	9	4	3	4	1	0	1	6	4	1	7	13	9	6	5	5	1	10	0	
246	203	130	129	232	309	214	212	239	125	217	183	293	236	125	233	66	258	49	108	159	255	249	241	223	163	175	255	265	203	175	133	156	293	275	177	210	80	193	318	257	310	243	244	290	249	243	272	299	338	294	211	256	229	285	251	273	155	254	270	265	22	155	70	33	79	101	112	19	9	18	69	43	45	2	60	217	34	72	184	223	192	196	213	197	58	197	19	
127	73	66	47	89	107	76	90	96	64	81	47	99	91	43	64	37	75	24	39	75	103	82	74	80	41	72	94	104	89	95	51	69	97	146	59	86	28	70	127	100	123	79	99	107	75	79	85	82	92	109	69	78	39	73	74	146	57	75	74	116	4	95	17	18	29	94	33	11	12	33	22	15	24	5	43	77	77	37	52	66	24	38	116	91	31	94	6	
803	602	502	354	762	887	809	649	747	492	632	469	879	815	449	789	304	878	127	361	540	932	850	829	813	556	713	793	820	707	567	630	615	1008	902	651	824	270	611	1167	945	1170	806	884	1037	744	866	1028	1074	1028	974	710	806	790	837	731	877	429	827	772	899	79	581	204	136	174	475	428	89	118	247	211	172	245	27	270	775	244	258	696	616	619	546	751	725	302	701	29	
24	19	15	16	22	27	23	19	17	10	12	15	55	25	18	32	13	25	6	13	13	33	38	53	34	20	32	23	34	30	31	32	26	30	56	30	41	8	19	40	22	33	38	30	36	41	30	35	62	46	35	26	38	47	46	26	18	6	28	24	34	3	13	4	3	8	10	5	3	5	5	14	5	3	2	8	46	19	2	40	18	37	33	22	13	9	11	1	
9	4	4	4	8	12	15	4	9	9	7	5	7	9	3	5	4	10	4	6	4	5	8	11	10	3	5	14	11	7	8	5	10	10	13	6	4	2	6	14	14	12	3	12	12	16	13	18	16	13	6	5	7	7	8	6	7	0	9	7	5	1	6	1	1	2	8	7	0	0	7	2	1	5	0	3	8	0	4	3	2	2	5	6	6	3	3	0	
11	1	2	3	6	14	12	7	11	5	5	9	9	8	7	10	5	14	2	5	4	12	12	9	6	6	12	13	19	12	8	13	5	24	14	8	19	6	8	13	14	15	15	16	16	17	17	7	31	24	17	22	12	14	11	14	11	7	8	15	10	0	4	4	2	2	4	4	1	2	1	7	0	4	0	1	18	4	3	10	2	17	13	8	4	5	5	1	
8	12	4	4	7	11	10	7	19	10	10	17	25	17	6	16	6	17	5	8	8	14	19	20	18	16	11	18	22	25	18	16	11	30	22	19	20	2	10	27	10	11	17	18	18	18	17	22	36	33	29	14	21	15	9	14	21	9	13	14	9	0	4	2	1	4	3	1	1	1	1	7	1	1	0	4	10	2	5	22	14	16	25	9	9	5	7	2	
