"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	"УИК №1752"	"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1766"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №3716"	"УИК №3796"	
2097	2074	1799	1922	1985	2136	1855	2326	2589	2582	1777	1143	1199	2303	1797	2062	2375	2140	2378	1597	2054	2362	2249	2480	1808	2451	1015	755	125	
2000	2000	1500	1500	1500	1500	1500	2000	2500	2500	1500	1000	1000	2000	1500	1500	2000	1500	2000	1500	1500	1900	1500	2000	1500	2000	850	1000	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1716	1371	1012	1044	1049	1083	931	1282	2070	2229	1002	699	640	1117	916	1158	1281	1187	1349	968	1166	1857	1180	1343	1073	1467	576	570	113	
34	70	59	26	49	61	21	39	54	35	46	40	6	36	39	47	41	49	40	20	68	42	24	32	24	18	37	149	0	
250	559	429	430	402	356	548	679	376	236	452	261	354	847	545	295	678	264	611	512	266	1	296	625	403	515	237	281	87	
34	70	59	25	49	61	21	39	54	35	46	40	6	36	39	47	41	49	40	20	68	42	24	32	24	18	37	149	0	
1716	1371	1011	1044	1049	1083	931	1282	2070	2227	1002	699	640	1117	914	1156	1279	1187	1349	963	1164	1815	1178	1341	1073	1467	575	568	113	
25	16	26	21	11	32	19	22	23	29	17	8	8	17	25	17	15	22	9	6	11	13	19	16	22	22	6	12	4	
1725	1425	1044	1048	1087	1112	933	1299	2101	2233	1031	731	638	1136	928	1186	1305	1214	1380	977	1221	1844	1183	1357	1075	1463	606	705	109	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	13	15	9	15	13	8	8	19	12	11	9	10	13	12	12	11	8	18	10	12	30	10	12	10	12	4	10	2	
100	196	146	122	147	133	154	168	187	242	120	86	77	136	114	146	196	148	169	114	162	108	174	198	162	194	92	94	14	
24	43	46	47	38	46	44	49	208	137	40	30	31	51	62	75	33	54	54	39	42	122	50	70	60	92	33	47	5	
1516	1018	725	725	735	768	578	886	1503	1639	740	514	467	796	654	858	902	890	989	701	893	1320	817	941	723	1053	419	496	69	
29	72	46	48	61	75	62	85	86	109	45	43	23	62	35	36	67	42	66	49	54	92	60	67	48	56	28	24	11	
8	13	7	10	11	9	4	10	8	16	11	4	7	6	9	4	9	6	7	5	6	56	3	2	7	12	6	8	0	
12	21	15	24	22	15	29	31	30	27	20	13	12	18	11	17	20	22	19	23	11	23	18	22	16	17	5	6	2	
23	49	44	63	58	53	54	62	60	51	44	32	11	54	31	38	67	44	58	36	41	93	51	45	49	27	19	20	6	
