"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	
2531	1235	951	2409	174	96	127	81	1538	463	400	176	189	191	118	362	397	281	268	257	77	541	450	212	
2650	1400	950	2600	180	90	140	85	1550	490	430	190	190	200	130	370	400	300	270	260	80	550	470	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2200	674	720	1569	144	68	80	70	1302	342	267	151	152	127	87	294	285	199	211	197	50	475	321	147	
100	300	132	102	17	19	21	5	213	77	47	11	19	24	23	40	86	31	28	36	23	31	50	14	
350	426	98	929	19	3	39	10	35	71	116	28	19	49	20	36	29	70	31	27	7	44	99	59	
100	300	132	102	17	19	21	5	213	77	47	11	19	24	23	40	86	31	28	36	23	31	50	14	
2200	674	720	1569	144	68	80	70	1302	342	267	151	152	127	87	294	285	199	211	197	50	475	321	147	
21	11	15	0	3	0	0	0	27	7	1	2	3	1	0	0	4	1	0	2	0	4	6	0	
2279	963	837	1671	158	87	101	75	1488	412	313	160	168	150	110	334	367	229	239	231	73	502	365	161	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

29	5	9	8	0	0	0	0	29	2	2	0	1	0	1	2	2	0	0	0	0	6	4	0	
609	161	115	228	36	1	5	3	205	44	26	14	16	22	27	27	65	16	32	24	4	54	84	23	
146	109	68	106	9	3	4	7	97	17	19	18	6	12	7	28	12	12	34	13	1	21	20	23	
1410	663	616	1301	111	82	91	63	1073	336	264	127	144	114	72	276	283	197	169	192	67	405	250	112	
26	7	14	9	0	1	0	2	40	9	2	0	0	1	1	0	1	0	0	1	0	5	0	1	
36	6	7	6	1	0	0	0	22	2	0	0	1	1	1	0	1	1	2	1	0	8	3	0	
14	8	6	6	0	0	1	0	4	2	0	1	0	0	0	1	2	1	1	0	1	3	2	1	
9	4	2	7	1	0	0	0	18	0	0	0	0	0	1	0	1	2	1	0	0	0	2	1	
