"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	
765	282	451	407	189	219	557	317	140	239	71	266	883	160	463	173	69	39	465	141	413	300	27	132	486	162	54	145	168	70	54	286	58	97	276	78	1902	1727	962	1124	452	1294	1291	167	159	
827	278	475	411	176	223	596	336	144	249	71	273	894	165	472	184	73	38	499	149	418	322	33	135	506	167	53	145	186	67	64	295	85	101	293	84	1955	1802	1033	1174	468	1377	1344	168	163	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
404	140	264	219	97	111	358	189	87	151	42	143	426	104	259	93	44	28	267	86	261	176	23	87	311	121	48	111	107	44	31	170	54	64	154	38	1095	934	451	532	242	723	618	98	87	
88	37	36	21	23	16	37	36	8	23	8	43	53	16	32	14	8	3	43	21	38	9	0	9	36	0	0	0	13	0	7	31	4	6	34	3	51	48	23	29	14	29	102	3	14	
335	101	175	171	56	96	201	111	49	75	21	87	415	45	181	77	21	7	189	42	119	137	10	39	159	46	5	34	66	23	26	94	27	31	105	43	809	820	559	613	212	625	624	67	62	
88	37	36	21	23	16	37	36	8	23	8	43	53	16	32	14	8	3	43	21	38	9	0	9	36	0	0	0	13	0	7	31	4	6	34	3	51	48	23	29	14	29	102	3	14	
404	140	264	219	97	111	358	189	87	151	42	143	426	104	259	93	44	28	267	86	261	176	23	87	311	121	48	111	107	44	31	170	54	64	154	38	1095	934	451	532	242	723	618	98	87	
4	5	3	2	4	1	3	5	0	2	2	1	9	2	2	0	0	0	7	0	4	1	0	0	2	0	0	0	1	0	0	3	0	2	2	0	18	13	11	8	2	9	15	1	0	
488	172	297	238	116	126	392	220	95	172	48	185	470	118	289	107	52	31	303	107	295	184	23	96	345	121	48	111	119	44	38	198	58	68	186	41	1128	969	463	553	254	743	705	100	101	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	3	1	3	0	2	5	0	0	2	0	0	3	0	0	2	0	0	4	2	3	3	0	0	2	0	0	0	0	1	1	2	0	1	4	0	13	13	5	3	2	5	8	2	0	
49	12	53	52	21	23	115	42	7	12	2	28	81	18	57	7	8	4	47	26	27	31	2	18	51	17	17	30	14	16	8	18	3	6	21	8	360	310	130	176	88	222	182	13	7	
45	29	22	19	0	15	25	17	14	13	3	12	29	15	32	6	3	5	29	8	22	16	1	2	19	9	0	8	4	2	1	8	4	6	17	4	61	58	29	30	22	46	37	13	5	
375	127	213	164	92	84	237	159	74	142	41	136	349	84	198	90	40	19	222	67	236	124	20	76	271	91	28	70	101	23	27	168	49	55	141	28	655	568	291	334	138	455	466	68	88	
6	1	3	0	1	0	5	1	0	1	1	5	2	1	1	1	0	0	1	0	4	8	0	0	0	3	1	2	0	2	0	1	1	0	1	1	17	8	4	4	2	8	4	1	1	
4	0	4	0	1	1	1	0	0	1	1	3	0	0	0	1	0	1	0	3	1	0	0	0	2	1	2	0	0	0	1	1	1	0	1	0	8	4	4	4	0	3	5	3	0	
0	0	1	0	0	1	3	1	0	1	0	0	4	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5	4	0	1	1	3	1	0	0	
2	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	1	1	1	2	0	0	
