"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №706"	"УИК №707"	"УИК №708"	
528	266	510	541	288	356	303	219	859	386	517	461	437	450	348	266	474	2106	2663	2220	
554	262	530	521	288	346	298	221	885	403	533	443	453	439	344	302	525	2270	2845	2398	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
282	174	362	320	191	224	179	135	574	267	343	327	337	231	281	178	243	1383	1981	1377	
194	49	104	147	79	106	96	48	242	100	132	47	92	190	51	69	184	109	165	112	
78	39	64	54	18	16	23	38	69	36	58	69	24	18	12	55	98	778	699	909	
194	49	104	147	79	106	96	48	242	100	132	47	92	190	51	69	184	109	165	112	
282	174	362	320	191	224	179	135	574	267	343	327	337	231	281	178	243	1383	1981	1377	
3	5	5	5	4	0	12	0	6	3	3	5	0	0	3	1	2	16	27	6	
473	218	461	462	266	330	263	183	810	364	472	369	429	421	329	246	425	1476	2119	1483	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	4	0	1	1	2	1	2	0	0	0	4	1	1	2	9	8	12	
27	20	21	12	8	41	13	4	35	18	29	41	40	36	25	5	41	186	245	171	
26	12	23	31	4	13	12	10	30	29	37	19	14	41	16	21	22	102	134	110	
404	182	412	407	251	269	231	164	737	311	395	304	365	324	284	215	357	1144	1681	1142	
4	2	3	1	1	2	0	3	4	1	6	2	5	5	0	2	3	17	17	22	
10	1	0	2	0	2	2	0	1	2	0	2	5	10	3	0	0	8	11	14	
2	0	0	3	1	1	4	0	1	0	3	1	0	0	0	1	0	7	14	6	
0	0	2	2	1	1	0	0	1	1	2	0	0	1	0	1	0	3	9	6	
