"УИК №3145"	"УИК №3148"	"УИК №3163"	"УИК №3164"	"УИК №3165"	"УИК №3166"	"УИК №3167"	"УИК №3168"	"УИК №3169"	"УИК №3170"	"УИК №3171"	"УИК №3172"	"УИК №3173"	"УИК №3174"	"УИК №3175"	"УИК №3176"	"УИК №3177"	"УИК №3178"	"УИК №3179"	"УИК №3180"	"УИК №3181"	"УИК №3182"	"УИК №3183"	"УИК №3192"	"УИК №3193"	"УИК №3194"	"УИК №3195"	"УИК №3196"	"УИК №3197"	"УИК №3563"	"УИК №3565"	"УИК №4115"	"УИК №4116"	"УИК №4118"	"УИК №4119"	"УИК №4122"	"УИК №4123"	
2030	1656	1790	1610	1550	1934	1822	1313	1795	1647	1767	2167	1886	1701	1888	1909	2000	1573	1795	1848	1846	1399	2200	2105	1983	1504	1816	1327	1569	1598	1531	1987	1797	1640	1656	1764	1541	
1571	1175	1364	1230	1245	1515	1470	1272	1744	1284	1325	1732	1448	1348	1430	1439	1569	1157	1450	1324	1422	1040	1997	1669	1542	1252	1469	988	1186	1143	1213	1430	1275	1263	1298	1281	1187	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1258	1000	1071	969	849	1126	1013	1016	1122	931	990	1327	1110	1004	1144	1054	1017	913	985	1159	1060	897	1365	1287	1072	877	1111	825	1002	860	802	1107	1013	1021	947	1012	877	
26	12	20	27	20	28	19	17	6	18	30	221	26	8	26	39	54	11	37	30	2	5	7	12	18	42	55	8	13	37	8	37	19	21	20	31	12	
287	163	273	234	376	361	438	239	616	335	305	184	312	336	260	346	498	233	428	135	360	138	625	370	452	333	303	155	171	246	403	286	243	221	331	238	298	
26	12	20	27	20	28	19	17	6	18	30	221	26	8	26	39	54	11	37	30	2	5	7	12	18	42	10	8	13	37	8	37	19	21	20	31	12	
1258	996	1070	968	849	1125	1013	1015	1116	930	990	1324	1110	1003	1144	1054	1017	913	985	1158	1060	897	1364	1286	1071	877	1111	825	1002	860	801	1107	1013	1021	947	1012	876	
36	16	16	23	18	19	14	30	15	11	17	48	22	14	9	9	15	14	14	10	23	9	14	46	23	10	17	15	14	24	24	14	25	28	29	11	32	
1248	992	1074	972	851	1134	1018	1002	1107	937	1003	1497	1114	997	1161	1084	1056	910	1008	1178	1039	893	1357	1252	1066	909	1104	818	1001	873	785	1130	1007	1014	938	1032	856	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	9	6	11	7	12	5	11	14	13	19	16	7	8	13	10	26	10	8	16	5	5	8	10	16	4	13	3	9	10	6	8	11	13	12	12	1	
182	141	170	117	130	165	145	106	160	141	142	200	128	172	131	169	124	128	113	152	161	123	188	158	154	107	161	102	140	101	109	174	149	128	102	145	99	
57	67	57	30	45	67	37	59	37	59	49	88	59	46	72	49	62	56	60	62	35	28	62	49	56	24	33	18	27	41	19	47	51	62	47	59	48	
872	692	753	714	603	787	724	743	778	651	711	1103	850	676	828	759	770	642	756	865	705	636	983	923	726	670	783	609	757	624	568	781	718	740	692	731	637	
48	36	37	45	22	44	41	44	63	33	35	39	29	43	47	38	26	39	27	34	77	55	41	59	51	39	51	45	31	39	43	45	27	25	35	31	37	
8	6	11	13	5	12	8	10	6	7	11	11	5	5	9	7	11	8	11	3	7	5	6	4	9	5	6	2	1	8	2	12	7	6	7	8	2	
32	14	16	13	11	15	17	12	18	11	13	19	26	17	16	16	16	7	7	8	30	16	19	20	23	25	24	16	17	23	11	25	19	16	14	22	13	
39	27	24	29	28	32	41	17	31	22	23	21	10	30	45	36	21	20	26	38	19	25	50	29	31	35	33	23	19	27	27	38	25	24	29	24	19	
