"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	
948	963	1301	1365	873	400	555	221	216	305	233	591	342	499	449	331	357	196	216	243	204	576	231	294	826	
930	950	1200	1300	900	400	550	200	200	300	200	600	340	460	470	310	330	190	210	230	200	570	210	300	830	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
692	747	838	1001	495	269	351	109	150	203	151	310	118	199	305	223	201	144	144	157	136	406	119	186	445	
48	100	85	77	182	69	141	55	28	36	37	91	90	165	57	43	51	17	21	41	39	59	68	35	110	
190	103	277	222	223	62	58	36	22	61	12	199	132	96	108	44	78	29	45	32	25	105	23	79	275	
48	100	85	77	182	69	141	55	28	36	37	91	90	165	57	43	51	17	21	41	39	59	68	35	110	
692	747	838	1001	495	269	351	109	150	203	151	310	118	199	305	223	201	144	144	157	136	406	119	186	445	
5	7	6	6	0	3	4	1	4	2	0	5	3	1	3	8	3	1	0	0	2	5	0	0	3	
735	840	917	1072	677	335	488	163	174	237	188	396	205	363	359	258	249	160	165	198	173	460	187	221	552	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	2	6	7	5	2	2	0	0	1	3	2	4	5	2	5	1	1	0	3	1	3	0	1	4	
93	82	133	152	88	76	43	8	9	17	26	44	32	24	26	39	15	30	19	27	13	36	16	36	100	
44	44	64	87	38	25	27	15	18	12	6	25	16	28	35	16	26	8	14	20	9	35	15	22	43	
575	690	693	798	532	225	406	140	141	205	152	318	148	301	284	190	198	118	129	142	148	381	154	159	393	
7	6	6	6	7	1	1	0	3	0	1	2	1	1	10	2	5	2	1	3	2	3	1	1	4	
4	7	7	10	5	3	4	0	1	2	0	2	1	3	2	2	2	0	2	0	0	0	0	1	4	
0	4	7	8	2	3	3	0	0	0	0	1	2	1	0	4	0	0	0	1	0	2	1	1	3	
3	5	1	4	0	0	2	0	2	0	0	2	1	0	0	0	2	1	0	2	0	0	0	0	1	
