"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	
2314	520	163	268	164	370	312	213	317	431	759	1057	330	356	
2472	504	166	260	154	379	319	202	310	422	766	1070	329	359	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1647	451	144	247	144	301	264	186	285	375	678	961	300	318	
215	28	8	13	10	19	21	15	16	21	35	54	18	24	
610	25	14	0	0	59	34	1	9	26	53	55	11	17	
215	28	8	13	10	19	21	15	16	21	35	54	18	24	
1647	451	144	247	144	301	264	185	285	375	678	961	300	318	
10	4	0	0	0	0	0	0	0	3	0	0	1	0	
1852	475	152	260	154	320	285	200	301	393	713	1015	317	342	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	3	0	0	0	0	3	0	1	2	3	1	1	0	
65	23	3	6	3	23	24	18	4	41	26	19	14	7	
73	20	6	2	7	19	16	6	8	12	12	32	11	13	
1695	420	141	249	144	276	237	173	286	335	667	960	287	318	
5	3	1	1	0	1	2	0	0	2	1	1	1	1	
3	2	1	2	0	1	1	0	2	1	2	1	2	2	
2	3	0	0	0	0	2	2	0	0	0	1	1	1	
2	1	0	0	0	0	0	1	0	0	2	0	0	0	
