"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	
494	485	209	189	471	189	284	181	452	500	127	116	165	248	138	206	91	130	120	110	225	212	2005	1175	338	272	
509	554	238	201	486	197	281	189	478	523	127	117	176	258	138	209	103	132	124	111	227	244	2058	1221	345	286	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
345	234	141	79	313	138	194	130	309	404	113	103	131	204	122	156	54	78	95	70	189	114	1303	1023	296	217	
115	90	50	55	91	33	37	22	74	79	10	7	18	33	12	32	26	28	11	22	24	56	400	99	15	18	
49	230	47	67	82	26	50	37	95	40	4	7	27	21	4	21	23	26	18	19	14	74	355	99	34	51	
115	90	50	55	91	33	37	22	74	79	10	7	18	33	12	32	26	28	11	22	24	56	400	99	15	18	
345	234	141	79	313	138	194	130	309	404	113	103	131	204	122	156	54	78	95	70	189	114	1303	1023	296	217	
4	1	3	0	5	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	1	12	0	2	0	
456	323	188	134	399	170	231	152	382	483	123	110	149	236	134	188	80	106	105	92	211	169	1691	1122	309	235	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	3	1	1	1	0	2	0	1	0	1	0	0	0	1	0	0	1	0	0	0	6	3	1	0	
31	26	16	10	43	5	3	5	13	41	2	3	2	4	6	12	0	11	10	4	18	24	108	47	26	22	
17	9	6	8	3	5	14	8	14	20	3	4	2	5	3	7	0	4	4	4	3	8	51	28	8	12	
403	285	160	114	349	156	211	135	353	415	117	101	144	221	125	167	80	90	88	83	189	136	1508	1027	271	195	
0	0	1	0	2	3	2	0	0	1	0	0	0	3	0	1	0	0	2	0	0	0	5	1	0	0	
5	3	1	1	1	0	0	1	2	2	1	0	0	3	0	0	0	0	0	1	1	1	7	9	0	6	
0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	2	2	0	
0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	5	1	0	
