"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	
2011	2128	639	516	254	184	449	450	191	138	1072	410	635	218	126	178	112	247	233	
2100	2100	680	500	220	195	450	450	180	130	1200	440	650	245	120	190	110	250	240	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1188	1245	329	233	165	149	327	297	98	45	470	229	287	144	87	76	66	144	112	
93	98	75	99	35	10	20	33	18	51	175	67	173	21	13	17	16	54	54	
819	757	276	168	20	36	103	120	64	34	555	144	190	80	20	97	28	52	74	
93	98	75	99	35	10	20	33	18	51	175	67	173	21	13	17	16	54	54	
1188	1245	329	233	165	149	327	297	98	45	470	229	287	144	87	76	66	144	112	
15	23	3	7	4	1	9	8	0	1	8	2	6	3	0	1	0	0	0	
1266	1320	401	325	196	158	338	322	116	95	637	294	454	162	100	92	82	198	166	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	10	3	2	2	1	0	2	1	0	6	3	2	0	1	1	0	1	1	
184	204	40	31	11	24	52	63	14	5	51	39	63	15	3	15	10	16	12	
127	141	49	20	9	4	34	39	10	7	42	29	35	35	9	7	5	16	6	
915	929	301	260	170	128	235	216	88	83	526	217	347	109	87	69	63	164	144	
11	13	0	4	1	1	8	1	1	0	4	0	4	1	0	0	1	1	0	
13	12	2	4	0	0	3	0	2	0	4	5	0	0	0	0	3	0	2	
5	9	3	3	2	0	2	1	0	0	4	1	3	1	0	0	0	0	1	
7	2	3	1	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	
