"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	"УИК №3011"	"УИК №3012"	"УИК №3013"	"УИК №3014"	"УИК №3015"	"УИК №3016"	"УИК №3017"	"УИК №3018"	"УИК №3019"	"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	"УИК №3031"	"УИК №3080"	
625	400	1022	299	1108	868	147	405	477	1645	983	726	628	1395	1599	1419	601	2327	896	651	1151	490	535	254	247	1025	1464	415	193	350	472	141	
500	400	1000	250	1150	850	120	400	450	1700	1000	700	600	1400	1600	1400	600	2400	800	600	1100	500	500	250	250	900	1400	400	150	350	450	150	
54	0	43	0	0	0	0	0	15	0	0	66	0	0	0	0	0	0	0	0	47	0	0	0	0	0	75	0	0	0	5	0	
351	234	486	171	545	472	113	281	237	873	453	306	306	742	866	879	334	1396	526	401	470	254	284	137	109	654	678	214	93	220	246	132	
13	5	4	1	11	8	4	0	12	9	17	13	9	23	20	8	2	27	12	11	10	2	20	3	9	33	15	1	1	3	30	0	
82	161	467	78	594	370	3	119	186	818	530	315	285	635	714	513	264	977	262	188	573	244	196	110	132	213	632	185	56	127	169	18	
67	5	47	1	11	8	4	0	27	9	17	79	9	23	20	8	2	27	12	11	57	2	20	3	9	33	90	1	1	3	35	0	
351	234	486	171	545	472	113	281	237	873	453	306	306	742	866	879	334	1395	526	401	470	254	284	137	109	654	678	214	93	220	246	132	
6	6	18	3	19	10	1	9	7	12	6	3	8	15	16	22	9	28	10	4	12	6	6	6	1	10	9	3	3	3	12	6	
412	233	515	169	537	470	116	272	257	870	464	382	307	750	870	865	327	1394	528	408	515	250	298	134	117	677	759	212	91	220	269	126	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	3	6	1	2	3	8	3	3	0	1	5	15	4	10	5	6	2	1	0	1	0	7	3	3	0	0	3	1	
39	58	146	47	169	170	23	82	54	182	80	99	72	223	237	227	99	416	170	99	127	66	103	38	18	93	173	28	13	35	47	37	
45	23	50	18	33	45	7	21	22	62	33	25	38	50	58	50	17	89	34	13	38	15	23	9	4	64	57	19	10	19	23	13	
314	149	298	99	320	235	80	165	168	592	332	240	194	447	538	548	202	836	304	279	326	163	166	84	93	493	514	158	65	164	187	74	
4	0	4	1	5	2	2	1	5	12	7	3	2	10	16	10	2	14	6	4	12	2	4	0	2	11	5	3	1	1	0	0	
4	1	9	1	2	3	1	1	2	5	6	3	1	7	9	1	0	7	3	4	3	1	1	0	0	4	2	1	2	1	4	1	
3	0	5	3	3	7	1	0	2	4	2	5	0	7	4	7	0	12	2	0	4	1	0	2	0	4	2	0	0	0	1	0	
2	1	3	0	2	2	1	0	1	5	1	4	0	5	3	7	3	10	4	3	3	1	1	0	0	1	3	0	0	0	4	0	
