"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	
2412	1810	2373	864	1133	723	417	669	291	392	1026	390	603	552	105	518	1084	2139	384	1574	584	567	375	
2430	1880	2510	900	1180	680	450	680	320	440	1155	435	660	600	100	545	1105	2215	400	1695	630	605	435	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1469	1163	1375	488	641	452	196	367	219	253	517	239	357	351	62	308	695	1305	220	920	359	279	183	
99	56	103	61	66	17	49	110	31	20	184	32	58	70	13	34	49	47	28	85	68	67	51	
862	661	1032	351	473	211	205	203	70	167	454	164	245	179	25	203	361	863	152	690	203	259	201	
99	56	103	61	66	17	49	110	31	20	184	32	58	70	13	34	49	47	28	85	68	67	51	
1469	1163	1374	488	641	452	196	367	219	253	517	239	357	351	62	308	695	1305	220	920	359	279	183	
14	10	18	7	9	9	2	0	0	3	7	4	6	2	0	1	9	26	4	12	7	3	1	
1554	1209	1459	542	698	460	243	477	250	270	694	267	409	419	75	341	735	1326	244	993	420	343	233	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	6	9	4	5	1	3	1	1	2	8	0	3	2	0	1	3	8	0	4	4	1	0	
182	186	205	74	68	55	19	67	47	18	70	26	30	35	3	37	133	216	17	163	68	47	24	
96	73	100	35	53	39	12	22	13	20	60	10	19	28	2	17	27	57	10	65	39	30	28	
1218	912	1108	409	555	353	202	378	186	218	541	229	342	345	68	285	555	1006	213	733	296	256	172	
22	6	8	5	6	9	5	3	1	4	2	1	7	4	2	0	7	9	2	5	3	2	5	
13	9	15	3	4	0	1	3	2	3	6	0	1	2	0	1	4	16	1	12	9	2	2	
7	10	8	4	4	2	1	3	0	4	4	1	4	0	0	0	5	6	0	7	0	1	2	
7	7	6	8	3	1	0	0	0	1	3	0	3	3	0	0	1	8	1	4	1	4	0	
