"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №3655"	
3026	2208	1814	1687	1748	2444	3060	2145	2506	1708	2836	1766	2203	1689	1990	1807	1848	2641	2026	1676	537	
2300	1750	1350	1300	1300	1950	2200	1700	1850	1300	2000	1300	1600	1250	1500	1200	1450	1900	1600	1150	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1701	1162	1051	948	979	1368	1852	1178	1428	1006	1479	1011	1293	958	1153	1023	1076	1633	1144	918	374	
56	62	47	43	35	47	63	43	29	52	99	46	45	42	57	42	44	68	33	22	147	
543	526	252	309	286	535	285	479	393	242	422	243	262	250	290	135	330	199	423	210	229	
56	62	47	43	35	47	63	43	29	52	98	46	45	42	57	42	43	68	33	22	147	
1697	1160	1048	945	977	1368	1849	1178	1426	993	1476	1010	1290	958	1153	1023	1075	1626	1141	915	373	
30	16	16	14	9	9	25	16	14	10	28	14	22	17	12	14	15	24	19	13	5	
1723	1206	1079	974	1003	1406	1887	1205	1441	1035	1546	1042	1313	983	1198	1051	1103	1670	1155	924	515	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	7	6	14	15	14	22	17	4	10	14	12	18	4	15	8	14	18	10	12	4	
236	176	142	129	151	213	251	194	207	128	179	125	181	128	179	147	148	221	184	107	51	
46	74	38	28	41	75	77	43	57	56	65	36	52	37	54	28	43	61	60	39	25	
1134	832	741	677	639	947	1252	813	979	733	987	686	862	670	818	715	730	1150	754	639	395	
120	46	74	50	61	63	129	56	85	48	129	91	91	55	56	65	79	95	65	61	22	
14	8	3	6	12	16	11	5	11	6	8	11	6	7	11	13	13	8	7	6	5	
44	20	19	24	24	26	43	23	25	18	37	16	39	28	22	25	22	37	23	16	6	
115	43	56	46	60	52	102	54	73	36	127	65	64	54	43	50	54	80	52	44	7	
