"УИК №2447"	"УИК №2448"	"УИК №2449"	"УИК №2450"	"УИК №2451"	"УИК №2452"	"УИК №2453"	"УИК №2454"	"УИК №2455"	"УИК №2456"	"УИК №2457"	"УИК №2458"	"УИК №2459"	"УИК №2460"	"УИК №2461"	"УИК №2462"	"УИК №2463"	"УИК №2464"	"УИК №2465"	"УИК №2466"	"УИК №2567"	"УИК №2568"	"УИК №2616"	"УИК №2617"	"УИК №2618"	
1712	1880	1728	1794	1544	1896	1860	1708	1764	1494	938	406	1288	1637	1903	1448	1252	210	148	1563	1575	151	1650	1671	709	
1700	1900	1700	1700	1500	1900	1850	1700	1800	1500	900	400	1250	1600	1900	1450	1250	200	140	1550	1550	160	1650	1600	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1077	1200	1000	1143	955	1236	1203	1093	1092	1007	552	203	779	1087	1298	997	750	153	95	984	976	108	1069	988	469	
19	37	68	103	42	54	28	36	31	30	70	18	24	45	20	30	47	17	9	38	33	28	44	47	12	
604	663	632	454	503	610	619	571	677	463	278	179	447	468	582	423	453	30	36	528	541	24	537	565	219	
19	37	68	103	42	54	28	36	31	30	70	18	24	45	20	30	47	17	9	38	33	28	44	47	12	
1077	1200	1000	1143	955	1236	1203	1093	1092	1007	552	203	779	1087	1298	997	750	153	95	984	976	108	1069	988	469	
19	20	23	30	21	18	33	16	22	18	12	4	18	19	41	20	11	1	2	22	15	14	16	26	11	
1077	1217	1045	1216	976	1272	1198	1113	1101	1019	610	217	785	1113	1277	1007	786	169	102	1000	994	122	1097	1009	470	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	8	10	5	11	10	14	11	9	1	0	2	9	8	10	8	1	1	9	3	2	12	15	2	
149	207	146	164	158	210	154	154	188	156	108	29	113	226	225	121	123	11	14	132	146	7	153	170	89	
87	86	98	104	95	104	93	100	78	83	59	16	90	103	104	77	85	15	13	82	93	14	115	82	58	
787	873	772	886	685	893	890	808	779	742	427	168	567	741	892	768	554	138	72	740	711	91	782	694	306	
25	17	11	28	20	18	16	15	12	13	5	3	5	14	26	12	6	2	0	13	16	4	13	19	3	
7	8	3	8	3	14	12	6	17	3	4	0	2	8	10	5	1	1	1	9	7	0	11	14	2	
8	9	4	8	7	10	12	3	7	7	2	1	1	4	7	11	6	1	1	6	6	4	3	5	6	
8	9	3	8	3	12	11	13	9	6	4	0	5	8	5	3	3	0	0	9	12	0	8	10	4	
