"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	
2688	2801	1444	1405	1477	1922	2268	2827	2297	2757	2285	2168	919	2611	417	1739	1693	350	
2340	2370	1230	1170	1230	1690	1950	2400	2270	2230	1900	1830	770	2260	410	1540	1430	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1708	1926	832	854	934	1288	1550	1899	1601	1790	1331	1245	531	1682	325	1274	1100	160	
82	54	30	57	56	60	64	104	56	94	82	64	38	112	5	34	46	190	
550	390	368	259	240	342	336	397	613	346	487	521	201	466	80	232	284	0	
82	54	30	57	56	60	64	104	56	94	82	64	38	112	5	34	46	190	
1708	1926	832	854	934	1288	1550	1899	1601	1790	1331	1245	531	1682	325	1274	1100	160	
17	8	13	12	4	12	11	20	15	11	21	12	5	17	1	8	16	2	
1773	1972	849	899	986	1336	1603	1983	1642	1873	1392	1297	564	1777	329	1300	1130	348	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	0	2	2	3	1	1	2	3	0	1	2	1	2	1	
26	25	15	14	23	16	27	39	32	23	19	23	7	14	10	72	25	3	
19	20	18	11	18	24	25	35	37	25	16	17	9	40	20	94	16	4	
1703	1897	803	855	924	1280	1517	1877	1549	1801	1328	1211	533	1695	292	1106	1064	329	
12	15	8	11	15	6	23	16	11	17	18	22	13	20	4	15	16	8	
4	7	1	0	1	3	3	7	5	0	2	3	0	2	1	1	3	1	
3	3	1	4	2	3	4	3	2	4	3	3	1	2	0	4	1	0	
5	4	3	4	3	2	2	3	5	2	4	15	1	3	0	7	3	2	
