"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	
644	46	47	86	370	1250	765	511	682	98	331	58	273	328	104	228	88	260	
660	45	55	85	405	1338	820	560	740	110	370	65	310	340	115	255	95	290	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
357	31	36	64	208	757	432	320	366	51	185	39	184	197	71	170	60	155	
36	4	2	6	34	69	30	34	53	6	30	5	17	38	1	13	9	32	
267	10	17	15	163	512	358	206	321	53	155	21	109	105	43	72	26	103	
36	4	2	6	34	69	30	34	53	6	30	5	17	38	1	13	9	32	
357	31	36	64	208	757	432	320	366	51	185	39	184	197	71	170	60	155	
5	0	0	0	2	14	3	5	3	0	1	2	0	4	1	2	1	1	
388	35	38	70	240	812	459	349	416	57	214	42	201	231	71	181	68	186	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	0	2	14	7	4	4	0	0	0	0	1	0	2	0	1	
77	3	5	3	31	148	102	70	87	8	61	6	15	24	7	24	2	38	
44	5	3	6	12	44	38	30	34	3	22	3	22	27	10	8	3	9	
256	27	29	61	190	586	306	239	282	45	126	33	161	174	51	141	62	136	
5	0	0	0	1	8	2	5	7	0	1	0	0	2	2	4	0	0	
2	0	0	0	3	3	3	0	1	1	3	0	3	1	0	0	0	0	
2	0	0	0	0	5	0	1	1	0	1	0	0	1	1	0	1	2	
0	0	1	0	1	4	1	0	0	0	0	0	0	1	0	2	0	0	
