"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	
1332	1475	1178	1324	1269	
1240	1290	1070	1220	1240	
0	0	8	0	0	
940	996	787	890	837	
9	3	61	7	4	
291	291	214	323	399	
9	3	69	7	4	
940	996	786	890	837	
8	10	9	7	14	
941	989	846	890	827	
0	0	0	0	0	
0	0	0	0	0	

4	4	5	3	4	
59	70	55	50	62	
88	87	64	71	73	
764	799	692	741	665	
10	13	16	19	15	
7	6	4	4	4	
3	5	3	1	1	
6	5	7	1	3	
