"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	
1333	1368	1528	2045	2166	1963	1727	981	487	277	239	1308	429	1976	816	
1300	1400	1400	1950	2100	1900	1650	900	400	260	210	1200	390	1850	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1228	1300	1298	1723	960	1805	1448	864	357	244	157	1103	284	1688	714	
36	68	60	66	41	70	48	26	29	11	36	54	33	98	14	
36	32	42	161	1099	25	154	10	14	5	17	43	73	64	22	
36	68	60	66	41	70	48	26	29	11	36	54	33	98	14	
1228	1300	1298	1723	960	1805	1448	864	357	244	157	1103	284	1688	714	
0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	
1264	1368	1358	1789	995	1875	1496	887	386	255	193	1157	317	1786	728	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	3	4	0	1	2	1	3	1	1	2	1	2	1	
15	16	73	74	329	16	41	15	37	6	4	7	28	65	14	
3	2	10	6	8	4	2	1	3	3	2	1	3	2	5	
1174	1305	1213	1654	632	1802	1403	840	323	229	172	1124	266	1617	687	
1	3	2	3	14	3	6	2	4	1	1	4	1	3	2	
61	31	47	41	4	45	36	23	14	13	10	17	16	88	16	
2	3	2	3	1	1	1	2	1	1	1	1	1	3	1	
5	5	8	4	7	3	5	3	1	1	2	1	1	6	2	
