"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №377"	"УИК №378"	
1265	1156	708	844	845	218	427	1054	446	
1216	1156	715	733	859	228	428	1009	446	
0	300	211	0	0	0	0	0	0	
721	856	482	563	571	209	426	711	273	
23	0	0	37	30	5	0	36	13	
472	0	22	133	258	14	2	262	160	
23	300	211	37	30	5	0	36	13	
721	856	482	563	571	209	426	711	273	
4	0	9	11	7	3	3	11	3	
740	1156	684	589	594	211	423	736	283	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

6	2	3	6	5	0	2	4	1	
76	71	53	40	44	8	40	85	19	
62	51	63	83	65	4	40	63	23	
569	1009	547	445	463	190	330	544	232	
13	5	14	9	9	8	9	18	4	
5	3	1	1	2	1	1	7	2	
3	7	2	4	1	0	1	8	0	
6	8	1	1	5	0	0	7	2	
