"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	
1564	1269	1474	2591	1341	1227	1562	1627	1462	1716	2516	1337	1333	1439	2184	1709	145	1356	
1600	1270	1490	2630	1330	1250	1560	1620	1490	1660	2560	1360	1370	1450	2240	1750	160	1350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
882	780	866	1530	784	645	967	926	872	854	1440	709	794	663	1429	868	58	838	
52	34	72	78	38	32	55	65	59	52	73	51	17	41	49	95	87	55	
666	456	552	1022	508	573	538	629	559	754	1047	600	559	746	762	787	15	457	
52	34	72	78	38	32	55	65	59	52	73	51	17	41	49	95	87	55	
882	780	866	1530	784	645	967	926	871	854	1438	709	794	663	1429	868	58	838	
15	9	11	30	5	12	15	12	17	12	23	12	21	9	18	16	2	9	
919	805	927	1578	817	665	1007	979	913	894	1488	748	790	695	1460	947	143	884	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	5	9	13	8	11	12	8	6	3	9	4	4	5	17	7	1	13	
182	147	153	320	135	118	191	186	168	202	257	152	173	153	243	209	20	152	
76	75	63	94	86	41	57	61	75	50	124	65	71	65	89	79	14	57	
617	548	669	1094	563	481	704	696	637	609	1055	502	516	449	1069	626	105	630	
16	9	14	25	9	5	18	13	11	15	11	10	11	9	14	10	1	8	
7	8	10	14	5	7	12	4	9	4	12	5	5	4	16	7	0	11	
5	7	7	11	5	0	7	5	4	6	14	8	4	5	6	4	2	6	
7	6	2	7	6	2	6	6	3	5	6	2	6	5	6	5	0	7	
