=== 93 1 ===
7 Яблоко	Рыбаков		
	1. Николай Рыбаков
	
	1. Алексей Крапухин О-210
	2. Алексей Пучинин
	
	Крапухин Алексей Игоревич
10Коммунисты Р	Сурайкин	
	1. Максим Сурайкин
	2. Руслан Хугаев
	3. Илья Ульянов О-207
	4. Сергей Малинкович О-196
	5. Ярослав Сидоров О-205
	6. Чермен Хугаев
	7. Владимир Рязанов О-120
	8. Илья Клейменов О-179
	9. Татьяна Гурьева О-29
	10. Николай Барсуков О-105
	11. Оксана Ромашкова
	12. Александр Подзоров
	13. Виталий Либанов О-62
	14. Максим Чувашов О-114
	15. Алексей Алексеев-Клочков

	1. Мария Донченко
	2. Алексей Балабуткин О-198
	3. Екатерина Бакашева
	4. Анастасия Гузей О-117
	5. Дмитрий Рязанцев Искл
	6. Игорь Шубин
	7. Денис Пенкин О-124
	8. Владимир Сумбаев
	9. Роман Гилманов
	
	Таращанский Леонид Асирович

14п.Песнсионер	Бураков		
	1. Владимир Бураков
	2. Владимир Ворожцов О-170
	3. Андрей Широков О-208
	
	1. Эрик Праздников
	2. Владимир Авдийский О-168
	3. Юрий Свешников
	4. Родион Попо
	5. Сергей Пронин
	6. Глеб Смыслов
	7. Евгений Ворожцов
	8. Виктория Давидова
	9. Сергей Иванов
	10. Сергей Андропов О-206
	11. Ирина Орлова
	12. Жаудат Ханафиев О-122
	13. Игорь Сычков Искл
	14. Валентин Титов
	15. Алексей Гвоздев
	16. Владимир Новиков
	17. Олег Григоренко
	
	Буткеев Владимир Анатольевич	- СПРАВЕДЛИВАЯ РОССИЯ – ПАТРИОТЫ – ЗА ПРАВДУ
4 Новые люди	Нечаев		
	1. Алексей Нечаев
	2. Сардана Авксентьева
	
	1. Сангаджи Тарбаев О-198
	2. Ярослав Самылин
	3. Юлия Хаюц
	4. Екатерина Разумова
	5. Татьяна Винницкая О-208
	6. Мария Прохоренкова О-199
	7. Даниил Шупеня О-209
	
	Начевский Михаил Владимирович
12Зеленая альт.	Дайнеко
	1. Виктория Дайнеко
	2. София Калягина
	3. Ксения Качаева
	4. Виктор Бетехтин О-18
	5. Александр Долгушин
	
	1. Степан Соловьёв О-207
	2. Андрей Николаев
	3. Алексей Семений
	4. Евгений Березин
	5. Алиса Голуенко О-198
	6. Анатолий Баташев О-210
	7. Инна Иваницина
	
	Баташев Анатолий Геннадьевич
2 зеленые	Нагибин
	1. Андрей Нагибин
	2. Сергей Ревин
	3. Сергей Шахматов О-54
	4. Руфина Шагапова О-6
	5. Александра Кудзагова
	6. Людмила Шувалова О-2
	7. Елена Тимофеева
	8. Алексей Трубецкой
	9. Саламбек Юсупов
	10. Аслан Алтуев
	
	1. Роман Косарев
	2. Андрей Мрочко
	3. Дарья Кривощёкова
	4. Александра Марова Искл
	5. Артём Сюткин
	6. Сергей Минделевич Искл
	7. Наталья Шушлебина О-203
	8. Алексей Чванов
	9. Полина Анисимкова О-200
	10. Александр Старов
	11. Кирилл Тетерин
	12. Дмитрий Бурых
	13. Борис Бердыев
	14. Игорь Елеференко
	15. Татьяна Олешкевич
	16. Артём Шилин
	
	Барменков Евгений Валерьевич
9 РП своб и спр	Шевченко
	1. Максим Шевченко О-208
	2. Дмитрий Потапенко Аннул О-197
	3. Максим Кукушкин
	4. Руслан Курбанов
	5. Герман Клименко
	6. Иван Засурский
	7. Дамир Исхаков
	8. Олег Мельников О-179
	9. Максим Шингаркин
	
	1. Виктория Миронова О-196
	2. Михаил Бутримов
	3. Александр Строганов
	4. Юрий Бобович
	5. Юлия Гладкова О-205
	6. Евгений Борзун
